"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","ISO","GB/FB","LD%","GB%","FB%","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Kolten Wong","STL","148","549","11","61","59","24","8.6%","15.1%",".138",".321",".285",".361",".423",".334",".292","108","7.1","12.9","7.2","3.7",".138","1.24","20.4%","44.0%","35.6%","108","31.4%","69.6%","47.4%","70.7%","92.1%","37.9%","36.5%","25.6%","20.7%","45.3%","34.0%","12532"
"Daniel Vogelbach","SEA","144","558","30","73","76","0","16.5%","26.7%",".232",".232",".208",".341",".439",".333",".342","111","-0.1","7.6","-11.2","1.6",".232","0.74","22.2%","33.0%","44.8%","111","22.0%","52.2%","34.1%","64.4%","81.1%","41.3%","34.0%","24.8%","19.4%","42.2%","38.4%","14130"
"Joey Votto","CIN","142","608","15","79","47","5","12.5%","20.2%",".150",".313",".261",".357",".411",".332",".341","101","-3.9","-3.3","-9.4","0.7",".150","0.98","25.2%","37.0%","37.8%","101","21.0%","68.1%","41.5%","69.3%","87.7%","36.0%","38.0%","25.9%","10.1%","48.4%","41.5%","4314"
"Christian Vazquez","BOS","138","521","23","66","72","4","6.3%","19.4%",".201",".305",".276",".320",".477",".331",".304","102","-4.2","-3.0","20.8","3.5",".201","1.04","23.0%","39.3%","37.7%","102","35.2%","69.0%","49.9%","70.8%","88.4%","36.2%","35.1%","28.7%","12.7%","53.7%","33.6%","9774"
"Asdrubal Cabrera","- - -","131","514","18","69","91","4","11.1%","20.0%",".181",".294",".260",".342",".441",".331",".317","98","-4.2","-5.3","6.9","1.9",".181","1.02","23.8%","38.4%","37.8%","98","28.8%","67.1%","45.3%","70.5%","87.3%","50.1%","27.6%","22.2%","12.3%","45.0%","42.7%","4962"
"Yasiel Puig","- - -","149","611","24","76","84","19","7.2%","21.8%",".191",".308",".267",".327",".458",".330",".320","101","-0.9","-0.2","-7.1","1.3",".191","0.94","21.2%","38.1%","40.7%","101","34.2%","77.8%","52.6%","59.3%","83.2%","36.2%","34.3%","29.6%","20.2%","41.3%","38.5%","14225"
"Kole Calhoun","LAA","152","632","33","92","74","4","11.1%","25.6%",".236",".265",".232",".325",".467",".330",".337","106","-1.2","3.4","-1.1","2.4",".236","1.10","22.3%","40.8%","36.9%","106","29.0%","75.2%","48.1%","48.5%","80.9%","50.5%","29.3%","20.2%","13.5%","44.1%","42.3%","11200"
"Ryan McMahon","COL","141","539","24","70","83","5","10.4%","29.7%",".200",".323",".250",".329",".450",".330",".323","88","0.1","-8.4","-2.6","0.6",".200","1.82","21.3%","50.8%","27.9%","88","29.2%","76.7%","49.5%","54.5%","78.3%","33.9%","38.2%","28.0%","14.6%","41.3%","44.1%","15112"
"Andrew Benintendi","BOS","138","615","13","72","68","10","9.6%","22.8%",".165",".333",".266",".343",".431",".330",".337","101","2.7","3.2","-4.1","2.0",".165","0.94","21.0%","38.3%","40.7%","101","32.9%","78.6%","51.2%","68.9%","82.6%","35.2%","37.9%","26.9%","13.4%","48.4%","38.1%","17901"
"Vladimir Guerrero Jr.","TOR","123","514","15","52","69","0","8.9%","17.7%",".162",".308",".272",".339",".433",".329",".327","105","-6.6","-3.4","-10.6","0.4",".162","1.50","17.3%","49.6%","33.1%","105","31.6%","71.9%","46.8%","63.7%","87.2%","41.3%","36.8%","21.9%","20.8%","44.8%","34.4%","19611"
"Eddie Rosario","MIN","137","590","32","91","109","3","3.7%","14.6%",".224",".273",".276",".300",".500",".329",".324","103","0.2","2.8","-11.7","1.2",".224","0.89","20.4%","37.4%","42.2%","103","46.3%","80.4%","59.1%","75.3%","85.1%","48.8%","30.7%","20.5%","15.4%","45.6%","39.0%","12155"
"Jason Heyward","CHC","147","589","21","78","62","8","11.5%","18.7%",".177",".281",".251",".343",".429",".328",".320","101","2.1","3.1","-1.7","2.0",".177","1.36","19.6%","46.3%","34.2%","101","30.3%","68.0%","45.4%","67.7%","87.8%","41.9%","36.5%","21.7%","17.7%","47.0%","35.2%","4940"
"Wilson Ramos","NYM","141","524","14","52","73","1","8.4%","13.2%",".129",".310",".288",".351",".416",".327",".314","105","-5.8","-2.3","-0.1","1.4",".129","3.26","18.4%","62.4%","19.2%","105","37.5%","76.1%","53.9%","69.1%","89.5%","39.8%","34.6%","25.6%","18.2%","49.6%","32.2%","1433"
"Domingo Santana","SEA","121","507","21","63","69","8","9.9%","32.3%",".188",".347",".253",".329",".441",".326",".336","106","0.5","4.7","-22.4","0.0",".188","1.38","26.6%","42.6%","30.8%","106","26.4%","71.7%","46.7%","51.9%","78.1%","39.4%","34.6%","26.0%","12.8%","44.3%","42.9%","10348"
"Dexter Fowler","STL","150","574","19","69","67","8","12.9%","24.7%",".170",".294",".238",".346",".409",".326",".336","103","-0.3","1.6","-4.7","1.5",".170","1.08","25.3%","38.8%","35.9%","103","25.3%","68.6%","42.5%","62.3%","82.4%","40.3%","37.1%","22.6%","17.7%","44.9%","37.4%","4062"
"Renato Nunez","BAL","151","599","31","72","90","1","7.3%","23.9%",".216",".272",".244",".311",".460",".323",".333","100","0.3","0.6","-14.7","0.7",".216","0.70","21.1%","32.6%","46.3%","100","37.5%","67.7%","49.5%","61.5%","85.1%","44.3%","29.6%","26.1%","20.4%","43.0%","36.6%","14503"
"Evan Longoria","SFG","129","508","20","59","69","3","8.5%","22.0%",".183",".291",".254",".325",".437",".322",".351","100","-1.3","-1.3","4.6","1.9",".183","1.10","21.7%","41.0%","37.3%","100","32.6%","66.6%","46.8%","67.6%","82.9%","39.3%","39.9%","20.8%","11.0%","45.1%","43.9%","9368"
"Paul DeJong","STL","159","664","30","97","78","9","9.3%","22.4%",".211",".259",".233",".318",".444",".322",".322","100","2.3","2.1","18.5","4.1",".211","0.85","18.0%","37.7%","44.3%","100","31.1%","71.4%","48.7%","60.7%","86.5%","47.5%","33.2%","19.3%","19.1%","39.3%","41.6%","18015"
"Adam Frazier","PIT","152","608","10","80","50","5","6.6%","12.3%",".139",".306",".278",".336",".417",".320",".314","97","0.7","-2.0","4.9","2.2",".139","1.24","25.9%","41.1%","33.1%","97","30.9%","70.4%","48.0%","77.0%","90.9%","38.4%","32.9%","28.7%","18.4%","51.7%","30.0%","15223"
"Brandon Belt","SFG","156","616","17","76","57","4","13.5%","20.6%",".169",".275",".234",".339",".403",".319",".345","98","-1.6","-3.3","-12.9","0.4",".169","0.58","23.0%","28.3%","48.7%","98","26.8%","75.0%","46.0%","66.7%","86.8%","41.4%","32.8%","25.8%","13.6%","45.4%","40.9%","10264"
"Alex Gordon","KCR","150","633","13","77","76","5","8.1%","15.8%",".129",".301",".266",".345",".396",".319",".327","95","-2.4","-6.1","-3.5","1.2",".129","1.50","23.1%","46.2%","30.7%","95","30.1%","72.5%","47.9%","65.5%","88.8%","40.6%","34.8%","24.6%","14.5%","46.7%","38.9%","5209"
"Miguel Cabrera","DET","136","549","12","41","59","0","8.7%","19.7%",".116",".336",".282",".346",".398",".318",".328","96","-6.3","-9.4","-13.9","-0.4",".116","1.38","24.4%","43.8%","31.8%","96","36.8%","68.8%","49.5%","65.9%","87.9%","31.3%","37.7%","31.0%","12.1%","43.8%","44.1%","1744"
"Hanser Alberto","BAL","139","550","12","62","51","4","2.9%","9.1%",".116",".318",".305",".329",".422",".318",".296","97","-1.7","-3.6","4.8","2.0",".116","1.44","20.8%","46.8%","32.5%","97","47.6%","73.7%","58.3%","78.7%","93.6%","43.5%","34.4%","22.1%","17.5%","57.9%","24.6%","11902"
"Amed Rosario","NYM","157","655","15","75","72","19","4.7%","18.9%",".144",".338",".287",".323",".432",".318",".313","99","1.3","0.8","5.9","2.7",".144","1.65","22.4%","48.3%","29.3%","99","38.1%","71.8%","51.7%","64.0%","88.2%","30.4%","43.7%","26.0%","14.5%","52.1%","33.4%","15518"
"David Fletcher","LAA","154","653","6","83","49","8","8.4%","9.8%",".094",".317",".290",".350",".384",".318",".316","98","-0.8","-2.9","13.6","3.3",".094","1.48","26.4%","44.0%","29.6%","98","25.3%","48.7%","36.2%","82.6%","96.1%","44.8%","32.2%","23.0%","17.6%","50.2%","32.2%","17992"
"Dansby Swanson","ATL","127","545","17","77","65","10","9.4%","22.8%",".172",".300",".251",".325",".422",".317",".350","92","3.9","-1.7","-0.8","1.5",".172","1.00","25.8%","37.1%","37.1%","92","27.9%","70.4%","45.8%","59.2%","82.5%","41.6%","32.1%","26.3%","12.3%","45.2%","42.5%","18314"
"Victor Robles","WSN","155","617","17","86","65","28","5.7%","22.7%",".165",".310",".255",".326",".419",".317",".291","92","4.2","-2.6","8.5","2.5",".165","1.10","23.0%","40.3%","36.7%","92","31.9%","71.4%","48.9%","63.9%","86.9%","45.1%","31.7%","23.3%","24.5%","50.6%","24.9%","18363"
"Cesar Hernandez","PHI","161","667","14","77","71","9","6.7%","15.0%",".129",".313",".279",".333",".408",".315",".299","92","1.5","-5.2","1.6","1.8",".129","1.69","22.7%","48.6%","28.7%","92","29.8%","65.4%","45.5%","73.8%","90.5%","38.0%","33.1%","28.9%","21.1%","45.9%","32.9%","10556"
"Colin Moran","PIT","149","503","13","46","80","0","6.0%","23.3%",".152",".341",".277",".322",".429",".315",".311","93","-3.4","-7.7","-7.8","0.1",".152","1.36","24.1%","43.8%","32.1%","93","39.0%","75.9%","53.6%","64.9%","86.9%","42.8%","34.6%","22.7%","15.3%","50.1%","34.6%","16909"
"Jean Segura","PHI","144","618","12","79","60","10","4.9%","11.8%",".141",".302",".280",".323",".420",".315",".310","92","5.7","-0.5","5.0","2.4",".141","1.91","21.0%","51.9%","27.1%","92","37.2%","61.0%","47.0%","77.6%","94.3%","34.5%","39.8%","25.6%","20.7%","46.2%","33.1%","5933"
"Nick Ahmed","ARI","158","625","19","79","82","8","8.3%","18.1%",".183",".280",".254",".316",".437",".315",".323","91","2.2","-5.3","9.0","2.3",".183","1.52","19.9%","48.3%","31.8%","91","31.0%","73.4%","49.3%","64.1%","88.5%","36.8%","39.0%","24.1%","16.7%","45.6%","37.7%","12147"
"Jackie Bradley Jr.","BOS","147","567","21","69","62","8","9.9%","27.3%",".196",".281",".225",".317",".421",".314",".313","90","0.5","-6.9","1.3","1.4",".196","1.48","17.0%","49.6%","33.4%","90","30.0%","71.5%","48.0%","56.5%","76.4%","42.2%","34.6%","23.3%","16.0%","48.3%","35.8%","12984"
"Willy Adames","TBR","152","584","20","69","52","4","7.9%","26.2%",".164",".320",".254",".317",".418",".313",".319","97","2.2","0.3","8.5","2.9",".164","1.54","22.9%","46.8%","30.3%","97","27.5%","70.3%","46.9%","57.1%","84.5%","38.2%","35.9%","25.9%","13.4%","44.5%","42.1%","15986"
"Eric Hosmer","SDP","160","667","22","72","99","0","6.0%","24.4%",".160",".323",".265",".310",".425",".309",".307","91","-5.2","-12.9","-12.4","-0.4",".160","2.42","20.9%","56.0%","23.1%","91","35.9%","72.8%","50.0%","58.1%","84.9%","33.0%","39.9%","27.1%","18.2%","41.6%","40.1%","3516"
"Albert Pujols","LAA","131","545","23","55","93","3","7.9%","12.5%",".185",".238",".244",".305",".430",".308",".314","91","-4.4","-10.5","-13.9","-0.5",".185","1.19","15.3%","45.9%","38.7%","91","32.9%","60.8%","44.5%","73.5%","90.5%","52.7%","30.6%","16.7%","19.5%","41.3%","39.2%","1177"
"Adam Jones","ARI","137","528","16","66","67","2","5.9%","19.1%",".155",".296",".260",".313",".414",".308",".318","87","-2.0","-11.3","-7.5","-0.2",".155","1.14","19.2%","43.1%","37.7%","87","41.4%","72.9%","54.1%","59.4%","86.9%","43.9%","34.6%","21.4%","16.5%","45.7%","37.7%","6368"
"Josh Reddick","HOU","141","550","14","57","56","5","6.5%","12.0%",".134",".288",".275",".319",".409",".308",".308","94","0.4","-3.7","-4.9","1.0",".134","1.04","23.5%","39.1%","37.5%","94","33.1%","74.2%","50.8%","76.5%","92.8%","35.7%","38.4%","25.8%","17.1%","50.6%","32.4%","3892"
"Freddy Galvis","- - -","147","589","23","67","70","4","4.8%","24.6%",".178",".312",".260",".296",".438",".307",".280","89","-0.8","-9.1","3.1","1.4",".178","1.04","20.9%","40.4%","38.7%","89","40.2%","73.2%","54.0%","63.4%","81.9%","42.9%","30.4%","26.7%","13.3%","48.7%","38.1%","6609"
"Randal Grichuk","TOR","151","628","31","75","80","2","5.6%","26.0%",".225",".266",".232",".280",".457",".307",".304","90","-3.8","-12.1","-4.5","0.5",".225","0.93","18.8%","39.1%","42.1%","90","36.4%","70.6%","50.2%","57.4%","87.2%","47.1%","32.5%","20.5%","19.3%","43.5%","37.2%","10243"
"Starlin Castro","MIA","162","676","22","68","86","2","4.1%","16.4%",".165",".293",".270",".300",".436",".307",".311","92","-4.2","-11.5","3.6","1.4",".165","1.45","19.1%","47.9%","33.0%","92","34.5%","69.4%","49.2%","70.2%","90.9%","44.0%","33.9%","22.1%","15.9%","42.1%","41.9%","4579"
"Jose Iglesias","CIN","146","530","11","62","59","6","3.8%","13.2%",".119",".315",".288",".318",".407",".306",".277","84","-1.9","-13.1","11.9","1.6",".119","2.16","23.7%","52.2%","24.1%","84","46.7%","68.1%","55.4%","81.6%","90.5%","38.2%","36.6%","25.2%","19.7%","49.7%","30.7%","10231"
"Miguel Rojas","MIA","132","526","5","52","46","9","6.1%","11.8%",".095",".314",".284",".331",".379",".305",".305","91","-2.9","-9.2","12.6","2.0",".095","1.58","23.6%","46.8%","29.6%","91","32.2%","65.9%","47.0%","74.4%","91.1%","31.4%","39.3%","29.3%","14.3%","50.1%","35.6%","7802"
"Lorenzo Cain","MIL","148","623","11","75","48","18","8.0%","17.0%",".112",".301",".260",".325",".372",".302",".330","83","0.4","-13.2","9.0","1.5",".112","2.08","25.7%","50.2%","24.1%","83","28.0%","66.6%","44.7%","66.3%","91.4%","31.5%","36.1%","32.4%","16.3%","47.2%","36.5%","9077"
"Rougned Odor","TEX","145","581","30","77","93","11","9.0%","30.6%",".234",".244",".205",".283",".439",".302",".318","77","2.2","-14.9","-2.3","0.3",".234","0.73","17.4%","34.7%","47.9%","77","33.1%","67.6%","47.4%","57.4%","84.0%","47.4%","33.5%","19.1%","17.9%","36.4%","45.7%","12282"
"Jurickson Profar","OAK","139","518","20","65","67","9","9.3%","14.5%",".192",".218",".218",".301",".410",".301",".317","90","1.8","-4.8","0.7","1.4",".192","1.12","21.7%","41.3%","37.0%","90","29.0%","68.9%","45.2%","68.4%","89.6%","49.9%","27.6%","22.5%","22.0%","40.3%","37.7%","10815"
"Jason Kipnis","CLE","121","511","17","52","65","7","7.8%","17.2%",".166",".265",".245",".304",".410",".301",".312","83","0.0","-11.1","4.8","1.1",".166","0.97","18.9%","39.9%","41.2%","83","29.6%","67.0%","46.0%","63.6%","91.4%","43.3%","34.4%","22.3%","14.4%","48.8%","36.7%","9776"
"Elvis Andrus","TEX","147","648","12","81","72","31","5.2%","14.8%",".118",".305",".275",".313",".393",".300",".308","76","3.5","-16.5","8.5","1.4",".118","1.84","21.3%","51.0%","27.7%","76","34.9%","62.0%","46.4%","68.6%","90.9%","37.0%","36.4%","26.7%","14.0%","47.5%","38.5%","8709"
"Kevin Pillar","- - -","161","645","21","83","88","14","2.8%","13.8%",".173",".270",".259",".287",".432",".298",".299","84","6.0","-7.7","1.2","1.4",".173","1.22","19.7%","44.1%","36.3%","84","48.8%","74.6%","58.6%","74.4%","93.0%","48.0%","29.7%","22.3%","20.2%","42.5%","37.2%","12434"
"Leury Garcia","CHW","140","618","8","93","40","15","3.4%","22.5%",".099",".353",".279",".310",".378",".294",".271","83","5.6","-8.2","-0.9","1.2",".099","2.33","21.5%","54.9%","23.6%","83","38.5%","73.2%","53.9%","63.5%","86.6%","33.2%","32.7%","34.1%","14.2%","57.3%","28.5%","5913"
"Khris Davis","OAK","133","533","23","61","73","0","8.8%","27.4%",".166",".264",".220",".293",".387",".289",".310","82","-2.2","-14.7","-13.5","-0.9",".166","1.13","20.5%","42.1%","37.4%","82","30.7%","82.2%","51.9%","48.0%","77.8%","40.4%","35.9%","23.7%","11.9%","42.1%","46.0%","9112"
"Yolmer Sanchez","CHW","149","555","2","59","43","5","7.9%","21.1%",".069",".324",".252",".318",".321",".281",".269","73","2.0","-16.8","7.0","1.0",".069","1.22","21.2%","43.2%","35.5%","73","33.2%","67.8%","48.1%","69.6%","85.3%","31.4%","34.4%","34.2%","20.6%","52.2%","27.2%","11602"
"Brandon Crawford","SFG","147","560","11","58","59","3","9.5%","20.9%",".122",".274",".228",".304",".350",".281",".303","73","-0.9","-21.0","5.9","0.3",".122","1.70","23.4%","48.2%","28.4%","73","32.0%","78.1%","51.3%","60.2%","82.4%","38.8%","38.2%","23.0%","17.8%","42.9%","39.3%","5343"
"Mallex Smith","SEA","134","566","6","70","37","46","7.4%","24.9%",".108",".302",".227",".300",".335",".278",".255","74","8.5","-10.6","-9.3","0.0",".108","1.70","19.0%","51.0%","30.0%","74","29.3%","68.9%","47.3%","60.8%","80.3%","31.7%","36.8%","31.5%","25.0%","48.7%","26.3%","13608"
"Orlando Arcia","MIL","152","546","15","51","59","8","7.9%","20.0%",".128",".253",".223",".283",".350",".269",".274","62","0.9","-26.8","5.4","-0.4",".128","1.68","18.0%","51.4%","30.6%","62","33.3%","66.9%","47.6%","66.5%","84.9%","37.2%","36.4%","26.5%","19.6%","47.3%","33.1%","13185"
